<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170106,17:20,171.3200000,171.3700000,171.1200000,171.2600000,95530
SBER,10,20170106,17:30,171.2400000,171.4000000,170.8500000,171.1800000,365190
SBER,10,20170106,17:40,171.1900000,171.4000000,171.0000000,171.1100000,305140
SBER,10,20170106,17:50,171.1300000,172.0000000,171.0700000,171.9900000,1301420
SBER,10,20170106,18:00,171.9900000,172.1800000,171.5200000,171.7600000,1288800
SBER,10,20170106,18:10,171.7700000,171.7700000,171.0400000,171.2400000,462200
SBER,10,20170106,18:20,171.2800000,171.3000000,170.5000000,170.9300000,1159490
SBER,10,20170106,18:30,170.9300000,171.0900000,170.3300000,170.7100000,1229760
SBER,10,20170106,18:40,170.6900000,170.6900000,170.6900000,170.6900000,361150
SBER,10,20170109,10:00,171.3700000,172.3900000,171.2200000,172.0800000,1558300
SBER,10,20170109,10:10,172.0700000,172.2000000,171.6000000,171.8100000,1185270
SBER,10,20170109,10:20,171.8900000,172.2000000,171.7500000,171.9500000,392080
SBER,10,20170109,10:30,171.9900000,172.2000000,171.8800000,171.9700000,389330
SBER,10,20170109,10:40,171.9800000,172.1600000,170.3800000,170.9700000,1368570
SBER,10,20170109,10:50,170.9700000,171.2000000,170.9100000,171.1000000,526290
SBER,10,20170109,11:00,171.1000000,171.7500000,170.6900000,170.9600000,908160
SBER,10,20170109,11:10,170.9900000,171.2500000,170.8200000,171.0100000,311150
SBER,10,20170109,11:20,171.0000000,171.7600000,170.9300000,171.4900000,446540
SBER,10,20170109,11:30,171.4400000,171.6500000,171.0000000,171.1200000,494030
SBER,10,20170109,11:40,171.1100000,171.3000000,171.0500000,171.0900000,134820
SBER,10,20170109,11:50,171.0600000,171.4200000,170.8500000,171.2400000,418890
SBER,10,20170109,12:00,171.2700000,171.4800000,170.8200000,170.9000000,374860
SBER,10,20170109,12:10,170.8700000,171.1000000,170.8500000,171.0800000,276030
SBER,10,20170109,12:20,171.0400000,171.2000000,171.0000000,171.0000000,469270
SBER,10,20170109,12:30,171.0000000,171.2000000,171.0000000,171.0100000,690480
SBER,10,20170109,12:40,171.0200000,171.0400000,170.1000000,170.2800000,1560520
SBER,10,20170109,12:50,170.2300000,170.9500000,169.9000000,170.5800000,1876070
SBER,10,20170109,13:00,170.5800000,170.5800000,170.2000000,170.5400000,570780
SBER,10,20170109,13:10,170.5000000,170.5900000,170.2500000,170.4200000,413640
SBER,10,20170109,13:20,170.3800000,170.4000000,170.2500000,170.3400000,90940
SBER,10,20170109,13:30,170.4000000,170.4600000,170.2500000,170.4600000,111230
SBER,10,20170109,13:40,170.4600000,170.5800000,170.3300000,170.4000000,158320
SBER,10,20170109,13:50,170.4000000,170.5800000,170.2600000,170.5200000,256670
SBER,10,20170109,14:00,170.4600000,170.5500000,170.3300000,170.5300000,186710
SBER,10,20170109,14:10,170.4600000,170.5000000,170.3400000,170.4100000,105460
SBER,10,20170109,14:20,170.3500000,170.4400000,170.3000000,170.3500000,110020
SBER,10,20170109,14:30,170.4000000,170.4000000,170.1500000,170.2500000,257580
SBER,10,20170109,14:40,170.2800000,170.4100000,170.2200000,170.3100000,130240
SBER,10,20170109,14:50,170.3300000,170.3500000,170.1500000,170.1700000,106160
SBER,10,20170109,15:00,170.1600000,170.1600000,169.5100000,169.5400000,1621880
SBER,10,20170109,15:10,169.5500000,169.6700000,169.1000000,169.5500000,1188930
